time,lr,fb,ud,yaw,cx,cy,area
17.984,0,-15,-30,30,429,357,44944
18.003,0,-15,-30,30,429,357,44944
18.062,0,-15,-30,30,428,358,44944
18.348,0,-15,-30,30,428,356,45796
18.467,0,-15,-30,30,426,357,47524
18.499,0,-15,-30,30,427,356,46225
18.523,0,-15,-30,30,428,357,47524
18.545,0,-15,-30,30,427,355,42436
18.567,0,-15,-30,30,425,356,42849
18.593,0,-15,-30,30,424,355,42025
18.624,0,-15,-30,30,424,355,42025
18.655,0,-15,-30,30,424,355,42025
18.687,0,-15,-30,30,425,355,38025
18.719,0,-15,-30,30,425,356,38025
18.754,0,-15,-30,30,429,358,38025
18.783,0,-15,-30,30,431,361,39601
18.805,0,-15,-30,30,431,361,39601
18.866,0,-15,-30,30,429,362,38025
18.896,0,-15,-30,30,430,360,38416
18.926,0,-15,-30,30,431,360,38809
18.961,0,-15,-30,30,430,361,38025
